Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","270.95","1.56%","267.50","1,33,48,375","2,51,999.86","16.33","10.67","322.00","247.30","0.48%","-3.46%","-12.71%","67.99%","154.20%","2.51","3.37%","18.53%","12.27%","16.88","271.87","286.88","56.53","76.00%","90.96%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,279.70","-1.18%","1,292.00","7,36,473","2,46,766.38","84.62","52.34","1,311.60","1,055.00","1.52%","9.71%","17.98%","30.84%","38.71%","56.30","1.04%","117.72%","59.30%","33.58","1,261.28","1,199.96","59.26","78.00%","91.00%"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","3,719.80","0.10%","3,735.00","2,95,500","2,42,059.69","88.56","39.81","4,949.50","3,340.00","-6.14%","-16.41%","4.46%","-8.67%","33.37%","10.57","-","13.56%","16.93%","40.74","3,968.61","4,187.62","32.58","76.00%","87.50%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","616.95","2.37%","604.20","92,55,218","2,41,251.39","13.25","-96.29","616.00","363.00","15.69%","32.72%","38.81%","95.18%","284.63%","5.87","7.22%","17.92%","28.36%","13.95","536.00","466.72","78.22","75.86%","87.50%"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","166.79","0.55%","166.70","96,38,213","2,35,528.13","9.18","12.93","174.50","110.72","2.34%","11.42%","21.71%","113.83%","173.43%","1.19","1.76%","22.94%","9.53%","21.83","164.71","148.09","56.75","76.00%","87.50%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","182.88","0.54%","182.00","2,30,06,840","2,28,298.74","33.93","24.21","186.94","122.62","8.45%","9.18%","33.74%","53.36%","184.37%","2.43","1.98%","-5.31%","8.15%","1.60","173.06","161.86","70.34","76.00%","89.34%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","925.70","3.44%","898.00","53,57,771","2,08,025.76","11.32","92.18","895.95","546.45","14.17%","20.86%","56.12%","90.06%","288.38%","1.49","0.55%","9.57%","12.85%","48.78","828.71","721.28","78.69","76.00%","89.40%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","2,067.40","1.32%","2,040.40","4,72,182","2,07,325.04","83.44","-5.03","2,086.60","1,372.55","4.86%","14.79%","47.63%","66.72%","130.89%","11.19","0.13%","12.70%","0.56%","20.29","1,995.78","1,816.79","65.71","78.00%","91.00%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,334.50","-0.18%","7,348.00","2,27,469","2,01,184.78","39.46","53.25","7,374.50","4,646.00","2.93%","4.46%","50.13%","127.16%","188.45%","9.13","0.95%","22.17%","26.14%","152.70","7,074.63","6,147.25","59.58","78.00%","91.00%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","5,106.00","-0.09%","5,119.00","4,64,130","1,97,393.16","38.65","5.88","6,232.50","3,945.00","-11.87%","-8.92%","11.10%","149.96%","197.99%","22.88","0.20%","409.35%","15.53%","202.26","5,471.50","5,545.30","42.52","76.00%","80.00%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,856.40","0.16%","2,856.90","6,98,682","1,94,384.23","21.63","5.34","2,977.80","2,276.95","4.57%","2.39%","16.96%","65.64%","207.24%","1.95","0.35%","7.14%","5.94%","85.43","2,798.09","2,743.41","63.49","78.00%","91.00%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","301.70","2.03%","295.60","1,06,04,978","1,91,674.28","115.02","-5.03","338.60","198.65","-1.00%","0.55%","-0.90%","21.21%","21.21%","1.39","0.17%","1.15%","1.49%","2.50","302.10","293.54","54.56","75.00%","87.50%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","1,010.35","-0.92%","1,024.75","52,64,026","1,90,083.42","19.45","-5.03","1,025.60","493.35","18.65%","55.75%","73.09%","264.54%","371.75%","3.17","0.97%","14.88%","10.65%","201.17","845.79","696.68","78.02","75.03%","86.85%"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","3,847.80","1.41%","3,843.00","10,02,294","1,82,804.02","64.74","53.25","3,799.90","2,171.40","5.08%","11.28%","59.89%","258.59%","684.07%","22.20","0.26%","23.68%","22.61%","36.05","3,574.11","3,103.95","68.73","76.00%","87.50%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","6,067.00","-0.74%","6,130.00","1,34,408","1,79,880.02","37.34","32.92","6,380.00","3,802.00","-1.39%","18.43%","6.94%","40.37%","64.00%","7.74","1.06%","22.89%","26.33%","154.11","5,973.15","5,270.70","47.66","76.00%","87.50%"
"DLF","https://scanx.trade/company/dlf-ltd","698.20","0.98%","692.65","40,64,871","1,72,826.50","39.96","-0.56","886.80","601.20","-2.01%","-3.34%","-15.32%","83.66%","192.93%","3.98","0.87%","4.13%","5.62%","11.50","726.56","749.06","47.63","76.00%","87.50%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","1,038.80","1.26%","1,029.00","15,44,713","1,71,108.66","72.65","10.67","1,177.55","758.00","-0.08%","-2.43%","-0.73%","-45.00%","-2.55%","8.65","-","7.22%","8.15%","8.71","1,040.01","994.19","55.31","68.03%","80.00%"
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,392.50","0.76%","6,351.00","1,08,528","1,69,700.79","67.76","41.13","7,071.50","4,955.00","-0.47%","11.95%","5.26%","89.54%","66.08%","10.92","0.47%","11.79%","18.85%","63.06","6,483.28","6,306.26","48.20","76.00%","87.50%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","128.48","2.14%","126.45","2,53,85,604","1,67,904.17","24.04","-183.56","156.80","108.04","9.73%","2.34%","-14.55%","290.52%","418.06%","2.92","1.27%","13.04%","5.81%","4.93","119.54","127.45","63.93","72.21%","85.17%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","493.80","0.42%","492.45","42,68,299","1,67,002.61","55.48","18.29","663.60","419.55","1.99%","11.48%","-24.13%","85.21%","511.82%","9.05","0.20%","29.67%","20.86%","18.65","471.63","485.55","64.19","75.00%","87.50%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","381.45","-0.01%","382.00","36,14,573","1,65,492.29","7.79","12.93","388.15","234.01","7.75%","12.29%","29.17%","128.51%","99.73%","1.76","2.58%","35.51%","17.05%","44.92","363.13","328.52","64.61","76.00%","87.50%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","754.85","0.63%","749.95","14,57,089","1,62,867.63","85.46","-5.03","820.75","584.30","-1.55%","-1.20%","22.30%","32.36%","11.27%","9.54","0.28%","10.73%","0.60%","7.61","758.85","751.22","47.66","78.00%","91.00%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,612.00","0.27%","1,611.00","6,37,080","1,57,931.08","35.29","32.92","1,736.40","1,209.40","5.39%","13.84%","-5.39%","59.68%","64.83%","5.71","2.80%","8.83%","18.78%","25.74","1,515.53","1,512.33","61.54","76.00%","90.74%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","305.05","1.43%","301.00","1,03,17,519","1,57,752.40","8.02","10.15","303.95","190.70","3.21%","17.51%","26.46%","63.79%","372.95%","0.98","2.78%","15.25%","5.69%","36.82","286.88","252.84","68.52","76.00%","87.50%"
"Trent","https://scanx.trade/company/trent-ltd","4,409.60","2.61%","4,300.00","8,95,709","1,56,755.75","95.13","39.81","7,493.05","3,930.10","4.59%","-8.74%","-37.61%","228.55%","553.61%","25.04","0.12%","36.01%","29.27%","35.43","4,340.63","5,070.20","62.93","72.77%","85.95%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,820.80","-0.47%","3,835.00","3,94,926","1,53,393.08","21.34","-5.03","3,890.00","1,965.00","0.25%","21.51%","72.49%","249.99%","214.90%","4.70","0.68%","16.57%","13.76%","111.25","3,601.96","2,832.53","58.94","76.00%","87.50%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,478.20","0.61%","1,469.30","2,75,319","1,50,438.49","66.54","201.33","1,574.95","1,311.10","0.65%","0.19%","3.24%","16.85%","66.95%","15.65","0.68%","20.28%","26.80%","36.93","1,471.00","1,494.10","54.30","78.00%","87.50%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,781.10","3.31%","1,728.50","17,93,036","1,50,298.75","31.30","-5.03","1,782.00","1,169.80","3.26%","10.95%","50.39%","143.37%","332.99%","5.54","0.12%","17.41%","9.61%","43.53","1,706.28","1,587.75","63.03","75.93%","87.50%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","5,984.50","-0.42%","6,009.50","2,65,702","1,44,147.63","62.39","52.34","6,336.00","4,506.00","2.94%","0.30%","24.81%","39.43%","67.74%","38.71","1.25%","53.81%","58.72%","91.68","5,933.22","5,682.93","50.34","78.00%","87.50%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","125.35","1.14%","123.94","1,32,05,239","1,44,064.04","8.32","10.15","127.80","85.46","0.04%","11.37%","22.10%","119.34%","260.20%","1.06","2.34%","8.25%","5.75%","10.66","121.34","109.05","64.58","76.00%","87.50%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","154.87","0.41%","154.90","2,92,36,511","1,40,477.18","8.00","10.15","158.00","78.60","2.90%","25.14%","54.28%","130.36%","480.91%","1.29","2.59%","15.87%","6.11%","17.21","145.22","117.29","66.30","76.00%","87.50%"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","565.40","1.03%","560.00","13,71,653","1,39,756.90","19.16","30.78","624.95","455.00","4.06%","-1.00%","4.98%","7.39%","125.39%","2.46","0.36%","9.32%","9.15%","12.66","551.53","561.24","63.73","76.00%","87.50%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","370.35","0.76%","369.20","70,77,536","1,36,384.33","1.43","40.74","490.35","324.33","1.80%","-14.84%","-18.35%","54.96%","228.03%","1.22","1.63%","34.17%","18.34%","102.18","372.98","402.89","60.65","76.00%","88.94%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","3,885.30","0.96%","3,856.70","57,479","1,31,496.21","60.85","25.06","3,882.20","2,886.45","3.97%","8.92%","13.65%","150.86%","178.01%","15.41","0.16%","24.16%","28.48%","49.44","3,741.07","3,480.89","67.66","78.00%","87.50%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","122.04","-0.39%","122.90","2,04,23,410","1,28,806.42","36.46","174.76","122.80","71.50","4.71%","15.13%","17.80%","141.81%","101.52%","3.48","0.46%","10.70%","14.07%","4.75","113.46","101.49","63.98","75.72%","87.26%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","11.78","1.55%","11.72","1,44,64,22,980","1,27,628.10","-4.86","53.01","12.80","6.12","18.63%","38.26%","47.07%","47.25%","5.18%","-1.53","-","29.99%","-1.99%","-","10.54","8.14","57.52","65.99%","76.10%"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","1,057.90","1.10%","1,056.90","13,70,725","1,27,083.69","51.59","10.67","1,061.70","639.45","5.89%","18.02%","31.34%","18.18%","18.18%","5.37","-","8.73%","6.77%","12.54","989.40","891.92","66.79","68.33%","80.00%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,235.20","-0.66%","1,243.40","8,60,507","1,26,391.17","69.83","87.78","1,309.00","979.50","9.37%","7.54%","14.42%","38.24%","67.16%","10.46","2.01%","-4.45%","23.72%","17.15","1,153.07","1,196.40","72.76","76.00%","87.50%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","393.10","2.95%","381.85","1,30,45,325","1,25,608.80","24.40","10.67","416.80","326.35","0.86%","0.50%","0.19%","85.56%","408.21%","3.24","0.59%","11.17%","9.90%","11.48","387.91","389.38","62.38","76.00%","87.50%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","11,181.00","-1.42%","11,342.00","58,889","1,24,437.27","14.52","-5.03","14,763.00","10,245.10","-1.33%","-6.79%","-5.59%","99.41%","258.46%","1.86","0.82%","11.70%","8.98%","670.52","11,691.34","12,687.89","46.63","68.52%","86.82%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","4,482.10","0.26%","4,484.00","2,69,527","1,24,243.81","53.55","60.62","4,615.00","2,580.00","-1.37%","16.45%","38.74%","223.47%","670.98%","15.70","1.15%","26.02%","32.98%","66.04","4,400.57","3,670.02","54.20","76.00%","87.50%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","375.95","3.52%","365.20","1,99,90,998","1,24,067.33","3.64","-183.56","474.85","329.90","4.16%","-8.56%","-16.14%","213.92%","308.46%","0.94","4.35%","19.70%","9.24%","62.81","366.04","398.45","67.71","72.83%","86.52%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,511.60","0.71%","1,500.90","9,64,611","1,22,102.78","22.30","18.27","1,673.00","1,335.00","-0.76%","-0.09%","-1.14%","41.15%","82.87%","3.68","1.07%","15.50%","21.57%","55.04","1,519.69","1,516.49","51.10","78.00%","91.00%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","156.70","2.03%","153.99","1,14,27,490","1,19,618.60","6.34","10.15","160.15","100.81","1.63%","12.94%","27.34%","92.51%","388.16%","0.97","3.09%","14.05%","6.23%","18.56","151.52","139.42","61.38","73.93%","86.78%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","5,933.00","1.57%","5,900.00","10,69,537","1,18,708.42","22.05","53.25","6,388.50","3,344.00","-5.76%","9.21%","41.79%","118.45%","91.22%","5.57","2.82%","20.98%","28.71%","204.10","5,804.01","4,823.12","55.50","76.00%","90.07%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","7,798.00","1.63%","7,676.50","1,92,881","1,17,389.90","46.36","22.23","7,903.00","4,555.00","5.36%","6.08%","6.22%","202.25%","653.10%","10.90","0.46%","21.87%","27.96%","118.40","7,498.72","6,703.38","63.35","74.12%","87.13%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","442.05","1.43%","438.00","1,19,82,152","1,16,619.98","12.28","18.51","439.85","312.55","11.46%","25.56%","28.52%","132.72%","87.75%","3.18","-","22.32%","28.12%","24.54","402.68","379.34","72.27","75.51%","87.22%"
"Bosch","https://scanx.trade/company/bosch-ltd","39,420.00","9.08%","36,170.00","1,85,984","1,16,263.93","39.73","174.76","41,945.00","25,921.60","8.49%","2.87%","15.83%","129.59%","203.56%","7.61","1.42%","20.65%","18.89%","646.75","36,823.80","35,026.16","73.11","78.00%","87.50%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","861.40","3.46%","842.05","32,01,311","1,16,027.48","9.94","10.15","894.85","473.90","-2.92%","16.87%","66.44%","191.26%","874.99%","1.61","1.95%","13.49%","5.89%","67.86","834.49","683.88","66.18","75.78%","87.50%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,170.70","-0.53%","1,176.90","9,55,406","1,15,845.95","85.12","-12.48","1,202.80","911.00","0.59%","2.26%","27.21%","55.48%","97.05%","5.73","0.70%","7.46%","7.91%","13.53","1,168.60","1,112.63","49.74","78.00%","91.00%"
"GAIL","https://scanx.trade/company/gail-ltd","175.38","2.10%","171.55","1,36,98,712","1,15,314.10","10.30","41.37","202.79","150.52","-0.02%","0.47%","-8.22%","81.55%","112.76%","1.28","4.37%","12.83%","15.14%","17.17","176.60","180.49","57.43","76.00%","87.50%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","2,657.20","0.34%","2,648.20","3,47,752","1,13,810.13","41.32","-5.03","2,967.25","1,781.53","0.32%","-4.34%","27.67%","142.66%","77.26%","14.66","1.70%","27.46%","39.50%","96.87","2,675.42","2,569.76","50.24","76.00%","87.50%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","105.77","0.26%","105.70","77,60,926","1,11,682.29","-753.57","41.37","110.36","67.75","-1.74%","18.39%","34.58%","159.56%","297.63%","-40.75","-","-86.69%","7.69%","-","100.42","90.22","59.81","75.00%","87.50%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","12,336.00","1.40%","12,198.00","70,737","1,11,628.53","78.79","201.33","17,820.00","8,482.50","-6.88%","-7.76%","25.06%","178.20%","1,028.53%","21.53","0.08%","25.54%","30.18%","102.22","13,108.46","13,958.23","44.86","74.84%","86.93%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","188.78","2.11%","185.00","2,53,88,934","1,10,886.63","30.63","783.98","185.56","95.93","17.77%","33.67%","69.45%","153.98%","280.99%","8.62","1.69%","22.82%","15.46%","8.52","156.42","130.57","82.21","76.00%","87.50%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,097.70","0.21%","3,094.80","2,83,939","1,10,315.45","52.29","3.18","3,409.00","2,269.90","-6.42%","-0.76%","-6.09%","120.31%","289.07%","8.32","0.39%","14.98%","22.43%","68.99","3,159.17","3,090.99","45.08","74.98%","87.50%"
"ABB","https://scanx.trade/company/abb-ltd","5,205.50","0.56%","5,156.50","63,490","1,10,308.90","62.18","3.18","6,947.70","4,684.45","0.31%","0.13%","-24.87%","94.24%","322.28%","42.16","0.85%","21.00%","35.54%","75.95","5,150.73","5,410.56","53.47","75.96%","87.50%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,080.30","1.11%","1,068.80","19,31,379","1,10,200.12","39.19","24.21","1,098.00","723.35","3.08%","1.44%","15.16%","81.67%","299.89%","2.19","0.19%","13.28%","8.16%","54.82","1,037.94","978.06","65.93","76.00%","87.50%"
"BSE","https://scanx.trade/company/bse-ltd","2,666.50","1.46%","2,639.00","22,15,206","1,08,762.29","59.22","41.37","3,030.00","1,227.32","-7.62%","28.11%","47.43%","1,338.55%","3,686.57%","20.54","0.29%","22.34%","30.53%","44.38","2,690.92","2,400.95","48.80","65.00%","79.42%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","1,085.70","1.20%","1,074.00","14,16,306","1,08,429.35","32.15","-0.56","1,531.00","1,035.15","-3.77%","-4.75%","-20.45%","97.21%","366.71%","5.14","0.40%","8.86%","18.64%","19.37","1,140.79","1,246.99","45.62","72.22%","85.51%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","387.20","-0.90%","390.70","61,61,772","1,06,879.34","-25.83","41.37","558.85","297.00","-0.37%","-7.31%","-28.61%","-15.09%","-15.09%","5.43","-","-","-25.96%","-","400.26","385.11","42.89","65.00%","85.13%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","748.65","1.36%","736.40","16,60,155","1,06,565.25","57.11","291.28","883.85","672.60","-0.05%","3.51%","-14.30%","136.02%","522.89%","9.10","0.30%","11.86%","17.74%","9.03","729.98","757.95","58.58","76.00%","87.50%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","495.85","-0.55%","498.60","65,13,192","1,05,508.08","7.62","12.93","502.15","287.55","9.71%","14.15%","20.25%","213.69%","236.17%","1.87","2.11%","34.13%","12.56%","46.45","468.11","419.96","67.47","74.69%","87.21%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,256.10","0.22%","1,249.00","15,91,218","1,04,837.92","18.24","18.27","1,405.90","1,020.00","-0.32%","0.92%","-8.25%","48.30%","19.83%","2.91","0.64%","19.74%","21.88%","333.59","1,253.08","1,244.69","45.31","78.00%","91.00%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","299.50","2.76%","292.70","1,38,71,683","1,04,287.80","182.06","3.18","295.25","176.00","2.92%","24.70%","28.41%","273.67%","673.90%","4.16","0.17%","1.15%","3.75%","0.29","275.71","245.40","68.59","72.83%","85.37%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,062.60","1.26%","1,049.40","9,28,577","1,03,366.47","75.17","-83.37","1,314.30","940.05","-5.58%","-4.55%","-6.76%","137.40%","645.68%","10.15","0.14%","14.89%","11.73%","10.84","1,113.38","1,158.86","43.77","70.00%","87.07%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","7,129.50","0.25%","7,130.00","3,53,245","1,02,511.27","59.14","-83.37","8,099.50","6,001.00","-2.17%","-4.19%","-3.26%","60.06%","195.24%","11.25","0.18%","12.53%","15.53%","72.05","7,348.32","7,272.02","48.16","75.00%","91.00%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","649.10","1.76%","639.45","22,85,838","1,02,224.01","94.48","3.18","797.55","517.70","-3.08%","-12.26%","-12.40%","139.87%","1,353.75%","13.46","0.20%","28.86%","31.58%","5.88","693.72","685.12","39.38","74.12%","87.16%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,494.50","0.72%","2,480.00","9,30,773","1,00,623.14","42.82","41.37","3,775.00","1,918.05","-6.65%","-12.21%","11.17%","532.99%","2,091.43%","11.22","0.70%","21.98%","34.51%","96.04","2,627.51","2,856.42","45.32","66.44%","81.29%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,381.60","-1.61%","1,404.10","19,86,738","1,00,490.79","62.40","42.99","1,700.00","1,271.10","-4.53%","2.59%","-16.75%","58.86%","137.59%","12.15","0.85%","19.77%","26.08%","19.42","1,422.50","1,414.04","39.74","76.00%","87.50%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","380.65","3.52%","370.00","2,42,28,761","1,00,233.67","5.61","-183.56","544.70","330.95","6.27%","0.82%","-24.71%","216.15%","276.77%","1.16","4.90%","20.40%","9.48%","55.59","357.92","386.91","71.90","72.32%","86.14%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","6,289.50","0.11%","6,285.00","1,47,711","99,216.86","59.52","32.92","6,599.00","4,148.95","-1.82%","26.92%","-2.29%","212.29%","739.97%","13.87","0.55%","22.06%","28.61%","76.02","6,194.55","5,619.95","50.91","75.19%","86.73%"
"Marico","https://scanx.trade/company/marico-ltd","757.75","-0.36%","760.45","9,33,700","98,362.59","58.19","9.29","765.30","577.85","5.40%","7.98%","17.66%","49.68%","86.59%","24.37","1.37%","36.03%","36.91%","11.73","731.43","712.37","61.91","78.00%","87.50%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,973.90","0.87%","1,951.50","1,97,253","98,301.17","34.78","-5.03","2,068.70","1,613.70","-0.88%","3.69%","9.09%","59.01%","29.93%","6.09","0.64%","15.72%","-8.50%","42.73","1,985.52","1,914.32","54.14","78.00%","87.50%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","678.30","0.59%","674.30","3,51,756","98,189.43","74.70","-5.03","693.50","525.80","9.13%","13.69%","2.80%","49.93%","36.01%","7.70","0.13%","7.73%","0.44%","6.03","626.96","615.78","72.95","76.00%","80.00%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","27,045.00","0.78%","26,775.00","36,285","97,580.38","56.23","30.78","32,490.00","24,817.80","2.39%","-7.68%","6.04%","15.31%","12.92%","4.32","0.41%","11.55%","6.67%","582.58","26,829.80","29,297.90","60.82","78.00%","87.50%"
"Lupin","https://scanx.trade/company/lupin-ltd","2,105.30","0.12%","2,103.00","2,52,908","96,169.85","22.10","18.27","2,402.90","1,795.20","1.12%","6.26%","-10.98%","187.28%","110.34%","4.89","0.57%","13.47%","21.29%","49.64","2,046.72","1,994.58","56.06","76.00%","87.50%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","361.25","-0.19%","363.00","26,25,417","94,544.37","28.34","-5.03","368.95","149.01","1.45%","20.48%","101.82%","132.46%","305.44%","2.94","-","12.01%","9.58%","13.24","340.95","271.03","63.16","76.00%","87.28%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","522.60","4.53%","501.45","53,40,608","92,693.05","49.81","87.78","577.00","433.30","1.43%","5.57%","2.28%","-6.94%","-2.17%","8.09","1.60%","17.58%","20.32%","10.60","507.71","501.56","67.26","78.00%","87.50%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","916.90","0.20%","918.85","2,62,095","92,261.59","18.30","18.27","1,059.05","795.00","-2.09%","-7.49%","-5.84%","118.26%","91.66%","3.64","1.20%","17.34%","21.99%","41.43","939.82","948.97","45.37","76.00%","87.50%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,202.70","1.76%","2,174.10","1,28,332","90,928.57","50.34","18.27","2,998.40","2,090.00","-1.22%","-9.71%","-23.55%","54.87%","54.87%","5.84","-","20.28%","13.33%","48.99","2,245.43","2,413.75","50.55","75.00%","87.50%"
"SRF","https://scanx.trade/company/srf-ltd","3,059.50","0.07%","3,060.00","1,08,406","90,691.18","56.05","201.33","3,325.00","2,200.45","4.67%","5.24%","38.36%","33.46%","169.27%","6.84","0.24%","11.64%","12.90%","41.45","2,950.93","2,985.82","57.73","76.00%","87.50%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,439.90","1.58%","1,424.50","2,56,390","90,318.71","60.83","3.18","1,721.20","1,380.00","0.32%","-3.05%","-14.30%","30.83%","58.25%","10.25","0.71%","17.06%","22.51%","22.20","1,442.20","1,515.14","55.35","78.00%","87.50%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","510.65","1.72%","505.00","55,05,156","89,249.80","39.30","10.67","656.50","418.75","3.83%","-4.81%","-20.74%","73.96%","664.45%","3.01","0.40%","8.21%","5.73%","11.18","497.21","512.46","63.76","72.61%","85.75%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","1,367.70","2.00%","1,345.00","3,23,120","88,684.49","52.46","41.37","1,825.78","1,157.00","0.19%","2.17%","-21.67%","74.83%","43.83%","1.79","0.45%","1.88%","4.80%","53.82","1,356.06","1,387.92","54.29","75.95%","87.50%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,340.60","3.79%","1,292.00","22,13,835","85,736.63","-135.66","41.37","1,381.80","651.50","-1.99%","16.72%","35.74%","151.95%","-14.11%","5.38","-","-13.67%","-4.12%","-","1,306.40","1,079.20","57.01","68.53%","82.51%"
"NHPC","https://scanx.trade/company/nhpc-ltd","83.62","5.10%","79.56","3,24,30,153","83,996.58","22.27","10.67","92.34","71.00","8.18%","-3.18%","2.05%","109.31%","261.99%","1.94","2.40%","8.28%","6.14%","3.60","79.70","83.42","70.54","75.25%","87.50%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","18,803.00","1.74%","18,600.00","81,093","83,809.41","114.85","3.18","22,840.00","8,801.00","-15.24%","3.69%","21.87%","460.77%","1,340.29%","17.97","0.03%","12.04%","13.08%","40.53","19,783.64","18,005.99","45.30","50.00%","80.25%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","875.95","1.91%","862.95","6,89,809","83,350.80","42.61","-5.03","1,027.25","664.00","-0.06%","0.03%","29.23%","10.20%","2.71%","5.53","0.29%","19.93%","20.03%","25.33","874.28","882.13","54.09","76.00%","87.50%"
