Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","5,337.50","2.42%","5,211.50","1,26,422","33,250.08","48.42","39.50","6,840.00","4,700.00","4.19%","2.13%","-20.85%","-15.28%","185.74%","12.01","1.44%","36.00%","52.73%","126.48","5,262.16","5,657.95","55.68","76.00%","87.50%"
"NBCC","https://scanx.trade/company/nbcc-ltd","122.67","0.47%","122.50","83,57,400","33,120.90","53.55","41.37","130.70","70.80","3.95%","12.05%","31.97%","353.83%","508.18%","12.34","0.55%","13.09%","26.58%","3.11","114.52","108.49","64.69","69.79%","80.00%"
"KPIT Technologies","https://scanx.trade/company/kpit-technologies-ltd","1,167.60","0.38%","1,163.20","4,13,208","32,009.03","41.26","39.50","1,500.00","1,020.60","-7.20%","1.25%","-21.80%","67.58%","711.40%","9.77","0.72%","27.67%","35.48%","24.17","1,201.55","1,240.01","42.50","73.78%","85.71%"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","367.70","1.23%","362.50","10,83,939","31,254.50","38.84","174.76","431.60","328.00","-3.28%","-6.92%","-12.73%","102.70%","92.16%","2.10","0.55%","6.84%","8.57%","10.29","374.14","382.74","48.58","76.00%","87.50%"
"CDSL","https://scanx.trade/company/central-depository-services-ltd","1,466.60","1.41%","1,446.20","10,61,313","30,651.94","63.96","41.37","1,828.90","1,047.45","-8.59%","-0.60%","-18.91%","153.79%","451.77%","17.35","0.86%","27.84%","37.66%","45.91","1,558.19","1,515.49","40.51","72.64%","80.00%"
"Delhivery","https://scanx.trade/company/delhivery-ltd","404.50","0.97%","401.60","7,85,695","30,260.47","216.35","41.37","490.00","236.53","-3.14%","-6.89%","16.10%","21.87%","-24.58%","3.14","-","-2.72%","2.66%","-","425.84","395.19","44.44","75.00%","70.00%"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","486.35","2.54%","475.00","11,98,062","30,237.40","48.59","174.76","607.30","380.00","-4.40%","17.55%","-17.80%","16.02%","34.65%","5.16","0.67%","18.49%","13.84%","9.41","489.60","474.85","50.47","75.15%","87.23%"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","545.55","1.81%","536.25","9,88,536","30,008.69","5.34","16.76","646.50","483.70","-0.93%","-5.48%","-9.12%","28.53%","44.48%","0.77","1.87%","15.12%","9.65%","86.33","552.86","577.32","54.80","76.00%","87.50%"
"IIFL Finance","https://scanx.trade/company/iifl-finance-ltd","641.40","3.38%","623.50","24,41,538","27,274.12","25.73","-5.03","621.95","279.80","9.18%","41.84%","53.35%","38.63%","463.42%","2.03","-","15.76%","8.01%","38.34","559.43","464.42","75.91","71.28%","65.00%"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","1,468.20","0.67%","1,459.00","2,51,732","26,692.78","25.87","-5.03","1,701.70","947.09","-1.50%","13.13%","5.03%","-43.80%","181.00%","7.03","1.96%","21.55%","23.65%","203.79","1,454.20","1,374.24","52.31","50.00%","75.00%"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","3,977.20","0.85%","3,951.40","13,30,214","26,661.02","69.81","30.21","7,822.00","3,712.50","-25.78%","-44.43%","-47.65%","436.41%","476.45%","5.65","-","9.91%","15.98%","32.73","5,332.04","5,862.85","32.42","69.50%","75.00%"
"Tata Technologies","https://scanx.trade/company/tata-technologies-ltd","655.95","1.82%","645.90","5,68,871","26,614.75","37.69","39.50","912.50","597.00","-3.57%","-4.99%","-26.36%","-50.04%","-50.04%","7.33","1.82%","21.09%","23.64%","16.02","671.03","692.66","48.57","75.00%","87.50%"
"Syngene International","https://scanx.trade/company/syngene-international-ltd","658.40","1.26%","650.10","2,90,442","26,529.53","55.90","41.37","895.75","599.55","2.01%","4.24%","-25.12%","13.57%","4.12%","5.53","0.19%","11.98%","13.20%","11.85","646.65","656.37","56.30","76.00%","80.00%"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","311.15","-0.94%","314.10","31,82,203","26,336.82","62.55","-5.03","318.90","168.83","10.18%","8.66%","62.42%","160.70%","86.09%","2.09","1.27%","18.98%","10.79%","26.55","284.07","264.11","67.19","73.96%","80.00%"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","998.00","1.16%","983.05","12,13,911","25,998.75","11.97","16.76","1,141.90","746.70","9.82%","13.11%","9.90%","110.23%","227.84%","1.43","0.51%","10.07%","9.27%","61.35","915.48","939.36","67.42","73.81%","80.00%"
"Piramal Pharma","https://scanx.trade/company/piramal-pharma-ltd","178.48","5.06%","170.10","49,60,834","23,724.42","-943.89","18.27","267.65","165.12","-3.46%","-10.33%","-30.89%","49.19%","-3.81%","2.80","0.08%","0.23%","7.02%","0.30","185.46","199.45","52.07","72.62%","80.00%"
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","144.46","0.19%","144.50","81,34,028","23,272.09","18.90","9.51","192.48","128.16","-3.73%","-11.67%","-9.67%","-39.85%","-63.90%","0.94","1.04%","10.32%","7.35%","15.97","151.89","162.82","43.08","59.47%","80.00%"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","6,482.50","0.54%","6,440.00","1,61,308","22,800.28","98.91","30.21","8,626.00","5,235.00","-8.34%","-21.34%","-15.50%","244.94%","171.65%","6.22","-","6.59%","14.95%","47.37","7,132.91","7,153.19","40.12","69.46%","80.00%"
"Inox Wind","https://scanx.trade/company/inox-wind-ltd","128.04","4.22%","123.06","99,49,850","22,128.36","40.97","3.18","198.13","118.28","-3.79%","-9.93%","-30.67%","375.99%","708.84%","3.26","-","-29.66%","12.30%","0.66","136.98","154.17","48.84","67.59%","75.00%"
