Stock Symbol,Company Name,Current Price,10 EMA,In Uptrend,Distance %,EMA Touched,Touch Date,Touch Distance %,Is Consolidating,Volatility Ratio,Avg Distance from EMA,EMA Rising,Final Result,Failure Reason
PI.NS,PI Industries,,,False,,False,,,False,,,False,FAIL,Insufficient data
360.NS,360 One WAM,,,False,,False,,,False,,,False,FAIL,Insufficient data
VOLTAS.NS,Voltas,1304.4,1275.8,True,2.24,True,2026-06-09,0.0,False,0.0332,1.82,False,FAIL,EMA not rising
HUDCO.NS,HUDCO,208.98,205.74,True,1.57,True,2026-06-09,0.0,False,0.0219,1.06,False,FAIL,EMA not rising
SUPREME.NS,Supreme Industries,44.46,46.5,False,,False,,,False,,,False,FAIL,Not in uptrend
PETRONET.NS,Petronet LNG,268.8,270.32,False,,False,,,False,,,False,FAIL,Not in uptrend
KEI.NS,KEI Industries,5281.0,5254.58,True,0.5,True,2026-06-09,0.0,True,0.0303,1.4,True,PASS,
IREDA.NS,IREDA,122.47,124.6,False,,False,,,False,,,False,FAIL,Not in uptrend
CONTAINER.NS,Container Corporation of India,,,False,,False,,,False,,,False,FAIL,Insufficient data
DALMIA.NS,Dalmia Bharat,,,False,,False,,,False,,,False,FAIL,Insufficient data
PAGE.NS,Page Industries,,,False,,False,,,False,,,False,FAIL,Insufficient data
ASTRAL.NS,Astral,1526.0,1534.66,False,,False,,,False,,,False,FAIL,Not in uptrend
PREMIER.NS,Premier Energies,2.94,2.96,False,,False,,,False,,,False,FAIL,Not in uptrend
BLUE.NS,Blue Star,,,False,,False,,,False,,,False,FAIL,Insufficient data
JUBILANT.NS,Jubilant FoodWorks,,,False,,False,,,False,,,False,FAIL,Insufficient data
TATA.NS,Tata Elxsi,,,False,,False,,,False,,,False,FAIL,Insufficient data
NBCC.NS,NBCC,105.83,102.68,True,3.07,True,2026-06-09,0.2,True,0.0368,3.67,True,PASS,
KPIT.NS,KPIT Technologies,,,False,,False,,,False,,,False,FAIL,Insufficient data
EXIDE.NS,Exide Industries,,,False,,False,,,False,,,False,FAIL,Insufficient data
CDSL.NS,CDSL,1212.3,1216.17,False,,False,,,False,,,False,FAIL,Not in uptrend
DELHIVERY.NS,Delhivery,439.4,444.33,False,,False,,,False,,,False,FAIL,Not in uptrend
SONA.NS,Sona BLW Precision Forgings,,,False,,False,,,False,,,False,FAIL,Insufficient data
LICI.NS,LIC Housing Finance,403.9,403.07,True,0.21,True,2026-06-09,0.0,False,0.0205,1.14,False,FAIL,EMA not rising
IIFL.NS,IIFL Finance,508.05,494.64,True,2.71,True,2026-06-09,0.0,True,0.039,2.83,True,PASS,
NUVAMA.NS,Nuvama Wealth Management,1556.8,1547.52,True,0.6,True,2026-06-09,0.0,True,0.0267,1.93,True,PASS,
KAYNES.NS,Kaynes Technology India,3072.8,3161.47,False,,False,,,False,,,False,FAIL,Not in uptrend
TATA.NS,Tata Technologies,,,False,,False,,,False,,,False,FAIL,Insufficient data
SYNGENE.NS,Syngene International,444.3,446.14,False,,False,,,False,,,False,FAIL,Not in uptrend
MANAPPURAM.NS,Manappuram Finance,307.25,311.58,False,,False,,,False,,,False,FAIL,Not in uptrend
PNB.NS,PNB Housing Finance,109.65,106.22,True,3.23,True,2026-06-09,0.0,True,0.0227,1.24,True,PASS,
PIRAMAL.NS,Piramal Pharma,,,False,,False,,,False,,,False,FAIL,Insufficient data
BANDHAN.NS,Bandhan Bank,,,False,,False,,,False,,,False,FAIL,Insufficient data
AMBER.NS,Amber Enterprises,7726.0,7658.92,True,0.88,True,2026-06-09,0.0,True,0.0292,0.88,True,PASS,
INOX.NS,Inox Wind,,,False,,False,,,False,,,False,FAIL,Insufficient data
